,Region,Customer_ID,Customer_Name,Gender,Age,Credit_Type,Credit_Amount,Interest_Rate,Loan_Term_Months,Start_Date,Payment_Status,Occupation,Account_Balance,region,district,district_population,branch_count,clients_in_district_rows,active_clients_district
4597,Samarqand viloyati - Kattaqo‘rg‘on,86d5ed04-af7e-4eb2-9b1c-39ec8404a630,Caitlyn Schmidt,ayol,69,Avtokredit,468838724,19.3,48,2024-08-12,Kechikkan,Talaba,3554693,Namangan,Namangan,54601,2,222,2839
4598,Qashqadaryo viloyati - Kitob,e187aaf4-26bd-4bc0-bd76-9aec2d386b1f,Michele Joseph,erkak,47,Ipoteka,357236457,22.45,48,2020-12-23,Kechikkan,Talaba,47546465,Xorazm,Yangibozor,315273,3,232,3499
4599,Surxondaryo viloyati - Denov,617d5dd4-6c9d-4b23-957b-29a0d5ace327,Catherine Coffey,erkak,60,Biznes,56299061,19.92,48,2023-12-06,Jarayonda,Tadbirkor,79885091,Toshkent shahri,Mirzo Ulug‘bek,2171,0,101,261
4600,Surxondaryo viloyati - Denov,e3ff2f76-52a0-4441-9b1d-86976b878f6b,Meghan Conley,ayol,53,Fermerlik,465925591,16.64,12,2023-09-19,To'langan,O'qituvchi,46103026,Xorazm,Yangibozor,315273,3,232,3499
4601,Qashqadaryo viloyati - Kitob,96737f21-127b-443c-9ec1-f4ceee7fb921,Amy Reyes,erkak,57,Avtokredit,68132071,19.36,12,2021-11-17,Kechikkan,O'qituvchi,9604456,Toshkent viloyati,Bekobod,360270,4,102,12267
4602,Andijon viloyati - Andijon,c4d7bda8-dd3e-4013-9615-7e7761bb4e3f,Michael Mckinney,ayol,45,Ipoteka,177398028,15.08,12,2023-07-14,To'langan,O'qituvchi,8915395,Sirdaryo,Shirin,77686,1,255,9183
4603,Samarqand viloyati - Kattaqo‘rg‘on,bd9c0198-8336-4fc5-9d32-9d461a8409dc,Reginald Lewis,ayol,62,Biznes,412581334,11.56,72,2025-07-29,To'langan,O'qituvchi,72325250,Xorazm,Xiva,26077,1,243,1762
4604,Buxoro viloyati - Kogon,765e3795-7744-4079-863e-a32f39156fe1,Tina Hansen,ayol,25,Biznes,6235645,13.45,12,2024-10-01,To'langan,O'qituvchi,54298398,Jizzax,G‘allaorol,17080,0,240,1129
4605,Navoiy viloyati - Qiziltepa,13e759d2-d9dc-4abd-a323-f8730937d9c5,Diane Craig,ayol,44,Ipoteka,350709134,15.49,60,2023-01-07,Kechikkan,Talaba,26037993,Sirdaryo,Shirin,77686,1,255,9183
4606,Surxondaryo viloyati - Sherobod,76450e1e-6934-45c8-bbfa-04c6637b4a8d,Jennifer Bishop,ayol,22,Avtokredit,113293743,17.07,24,2021-11-16,To'langan,Boshqaruvchi,23626916,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
4607,Sirdaryo viloyati - Guliston,2dead5ad-5230-456e-985c-be51b312bf1d,Johnny Carter,erkak,53,Biznes,207777399,19.28,12,2023-10-03,Jarayonda,Boshqaruvchi,39183681,Buxoro,Buxoro,1000,0,218,59
4608,Navoiy viloyati - Zarafshon,0f260efd-ed1e-4411-af62-e76a38a063af,Daniel Wise,ayol,39,Fermerlik,410009906,22.44,72,2025-06-22,Jarayonda,Ishchi,466161,Fargʻona,Marg‘ilon,251803,3,266,15042
4609,Qashqadaryo viloyati - Koson,d246fc5e-c6f6-48bb-af48-90dbfb337108,Melissa Matthews,ayol,68,Ta'lim,25409767,13.45,48,2023-06-07,Kechikkan,O'qituvchi,47756621,Sirdaryo,Shirin,77686,1,255,9183
4610,Samarqand viloyati - Kattaqo‘rg‘on,799642c7-9a27-4df9-aa7d-67845b2a84c1,Stephanie Carpenter,ayol,41,Ta'lim,156171332,24.39,36,2021-09-15,To'langan,Talaba,96832891,Sirdaryo,Guliston,55176,1,235,4862
4611,Buxoro viloyati - Buxoro,28d702b7-d330-4ca8-9bfb-eb1af58d8f2e,Debbie Doyle,ayol,69,Fermerlik,458087081,11.14,48,2021-03-27,Jarayonda,Boshqaruvchi,76255395,Navoiy,Navoiy,40472,1,231,4876
4612,Surxondaryo viloyati - Termiz,d92dcc47-2e56-4be4-a9eb-ac2fdc0c6575,Shannon Harvey,erkak,41,Ipoteka,368417778,21.64,60,2024-02-03,Jarayonda,Boshqaruvchi,56675251,Xorazm,Xiva,26077,1,243,1762
4613,Toshkent viloyati - Angren,eb4d6a10-92ae-4d0e-984f-c917f8ded7b4,Lori Brown,erkak,56,Ipoteka,409004261,20.03,24,2025-06-13,To'langan,Fermer,80673438,Qashqadaryo,Qarshi,4115,0,64,91
4614,Namangan viloyati - Namangan,a7c2b8c5-b240-419a-bf3e-e4b0516fcf18,Jennifer Mcconnell,ayol,53,Biznes,15735396,20.57,24,2022-11-28,Jarayonda,O'qituvchi,58312940,Fargʻona,Qo‘qon,283539,3,211,26120
4615,Buxoro viloyati - G‘ijduvon,e3f83282-c544-4e2f-8b22-bc7138f8339a,Carly Eaton,erkak,35,Fermerlik,59117595,24.76,24,2021-12-13,Kechikkan,Boshqaruvchi,66061452,Navoiy,Qiziltepa,13911,0,247,598
4616,Sirdaryo viloyati - Shirin,b5c962c4-dff0-43c0-a625-854e38a9fe0a,Matthew Foster,erkak,42,Biznes,440379710,12.47,72,2024-02-08,Jarayonda,O'qituvchi,45670442,Namangan,Chortoq,210264,3,236,9822
4617,Qashqadaryo viloyati - Koson,1102f1fc-af13-48cc-97dd-a3d7ea05167f,Cameron Rich,erkak,33,Fermerlik,474029916,10.7,24,2022-07-26,To'langan,Talaba,51694521,Qashqadaryo,Beshkent,21916,1,78,1784
4618,Sirdaryo viloyati - Sirdaryo,ac4fea37-783b-473c-a971-cc3f933f9977,Debra Mcintyre,ayol,39,Avtokredit,175147602,22.4,48,2022-07-24,Kechikkan,Ishchi,7691464,Samarqand,Nurobod,41107,0,127,1459
4619,Xorazm viloyati - Yangibozor,2d313028-c524-4645-8918-7df12a572862,James Werner,erkak,57,Fermerlik,205137586,18.45,72,2025-05-23,Kechikkan,Tadbirkor,6783979,Andijon,Andijon,535564,5,230,5751
4620,Andijon viloyati - Andijon,39deae74-eb31-4310-8c74-565fc9416d74,Cameron King,ayol,70,Avtokredit,218535390,21.24,12,2024-05-27,Kechikkan,Boshqaruvchi,3758981,Xorazm,Urganch,236963,2,257,4614
4621,Xorazm viloyati - Yangibozor,c15a6113-9c2b-4858-afb5-a66960199a9c,Mr. Tyler Sandoval,ayol,59,Ta'lim,68587358,23.14,72,2021-10-24,Kechikkan,Talaba,11817599,Sirdaryo,Sirdaryo,115267,2,238,4878
4622,Namangan viloyati - Chortoq,fa639399-9e35-4b0c-a734-af6333392965,Caitlin Nunez,erkak,59,Ta'lim,324092513,24.78,48,2023-02-17,To'langan,Fermer,96661280,Fargʻona,Farg‘ona,152849,2,234,5735
4623,Farg‘ona viloyati - Qo‘qon,f204c7bf-20a7-4916-8c90-7318e1e7b0cc,Sara Martinez,erkak,61,Ta'lim,483681078,12.84,36,2023-09-26,Jarayonda,Talaba,40864360,Toshkent shahri,Chilonzor,269202,3,87,31888
4624,Samarqand viloyati - Samarqand,835353ba-407f-4711-aaab-1e59434656d4,Kyle Howell,erkak,22,Avtokredit,375539289,16.34,72,2024-03-13,To'langan,Boshqaruvchi,82226004,Navoiy,Navoiy,40472,1,231,4876
4625,Surxondaryo viloyati - Termiz,d1763f32-b68f-4307-a402-e1daaa90cedc,Clinton Nguyen,ayol,46,Avtokredit,340348135,11.73,72,2025-09-11,Jarayonda,Tadbirkor,54349372,Qoraqalpogʻiston Respublikasi,Nukus,550856,6,230,52910
4626,Navoiy viloyati - Navoiy,138f41e9-7595-4b3e-b007-6ca8d94c9a5d,Tara Henry,ayol,25,Ta'lim,153338065,16.31,24,2022-08-21,To'langan,Fermer,56548067,Namangan,Pop,440092,4,239,25049
4627,Qashqadaryo viloyati - Yakkabog‘,6e26a034-abbe-4c30-885a-180607bc0175,Kelly Flores,erkak,30,Avtokredit,227441079,11.16,36,2023-06-09,To'langan,Fermer,25356878,Surxondaryo,Termiz,162099,3,237,12944
4628,Namangan viloyati - Pop,bf0ee213-02f4-4734-a37d-c79920fb7bfc,Daniel Anderson,ayol,53,Ta'lim,424140284,15.48,72,2024-02-05,Jarayonda,Talaba,54297223,Namangan,Pop,440092,4,239,25049
4629,Navoiy viloyati - Zarafshon,dcdd1bd2-e15a-424f-86e9-83bf276c5cba,Steven Jones,ayol,64,Fermerlik,16886535,24.97,24,2025-09-26,Jarayonda,Fermer,23587876,Qashqadaryo,Mirishkor,20029,0,59,673
4630,Sirdaryo viloyati - Guliston,5bd97a94-7a99-42db-ba88-95e512bd351a,Gregory Hale,ayol,65,Ta'lim,111546943,16.08,48,2025-03-16,Kechikkan,Boshqaruvchi,61946408,Samarqand,Kattaqo‘rg‘on,216959,2,117,23327
4631,Qashqadaryo viloyati - Yakkabog‘,bfad530a-e988-4355-958c-30f2e1fd2829,Kevin Navarro,erkak,30,Fermerlik,279970206,15.85,60,2025-06-29,Jarayonda,Ishchi,6587817,Qashqadaryo,Kitob,16310,1,77,1493
4632,Surxondaryo viloyati - Denov,c541df61-c915-4937-9b10-53390ae3a1a5,Daniel Miller,ayol,18,Ipoteka,28179869,22.49,48,2025-09-02,Jarayonda,Ishchi,13191423,Buxoro,Kogon,49512,1,236,4431
4633,Farg‘ona viloyati - Farg‘ona,dbf4f2df-00cd-40d7-89cb-d06c9e111f9e,Rachel Young,ayol,37,Avtokredit,67701189,19.82,72,2021-07-02,Jarayonda,Fermer,58461171,Buxoro,Buxoro,1000,0,218,59
4634,Navoiy viloyati - Qiziltepa,e6434010-9fba-42f2-995a-a34f9bdf81a3,Nathan Sanders,erkak,39,Fermerlik,47208119,23.47,60,2021-11-06,Jarayonda,Fermer,75913464,Qashqadaryo,Qamashi,34978,1,71,5168
4635,Surxondaryo viloyati - Denov,1272f4ba-0411-4fc1-bea3-bb319af04d1b,Kelli Steele,erkak,49,Ta'lim,220701355,11.21,60,2022-04-28,Kechikkan,Boshqaruvchi,91856795,Sirdaryo,Sirdaryo,115267,1,238,4878
4636,Jizzax viloyati - Jizzax,30b3155b-2be7-4d0f-a288-e0fd51920780,Matthew Morales,erkak,53,Biznes,307110310,15.86,24,2022-09-15,Jarayonda,Boshqaruvchi,58839050,Jizzax,G‘allaorol,17080,1,240,1129
4637,Buxoro viloyati - Kogon,ae7a221d-b66d-430a-b738-7db38174331f,Jesse Humphrey,erkak,27,Fermerlik,444817093,12.75,36,2023-01-28,Kechikkan,O'qituvchi,1711051,Navoiy,Zarafshon,20067,1,227,666
4638,Sirdaryo viloyati - Sirdaryo,26c4d10a-af2f-42fe-9c50-41d7039c2f39,Robert Braun,ayol,51,Ipoteka,28817159,18.67,24,2021-09-11,Kechikkan,Tadbirkor,37383955,Jizzax,G‘allaorol,17080,0,240,1129
4639,Samarqand viloyati - Kattaqo‘rg‘on,75a8b7b8-badf-4890-bb63-2c7aa183f9a1,Brendan Brown,erkak,44,Ipoteka,112603599,15.24,48,2022-06-21,Kechikkan,Talaba,22844370,Samarqand,Kattaqo‘rg‘on,216959,2,117,23327
4640,Jizzax viloyati - G‘allaorol,81dba9ab-2605-470c-9373-ae663a5b897a,Jay Anderson,erkak,58,Ipoteka,251793535,16.67,12,2024-02-24,Kechikkan,Ishchi,4995267,Samarqand,Nurobod,41107,0,127,1459
4641,Buxoro viloyati - G‘ijduvon,4103cf2a-a5bb-4f72-a85d-90409d1c5cee,Tami Rose,erkak,28,Ta'lim,365167623,20.05,36,2021-03-11,To'langan,Ishchi,86803,Surxondaryo,Sherobod,218888,2,257,13143
4642,Samarqand viloyati - Samarqand,ca472fb9-c7e7-4441-a7c7-c7d4cb69f0f2,Kristen Pruitt,erkak,31,Biznes,340664558,16.5,72,2021-08-01,Jarayonda,Talaba,128315,Toshkent viloyati,Chirchiq,373498,5,131,24067
4643,Qashqadaryo viloyati - Qarshi,923c507c-8771-4850-9425-321d5e3ba085,Sherry Frederick,ayol,25,Biznes,446997145,12.64,36,2021-08-29,To'langan,Fermer,26517154,Namangan,Namangan,54601,2,222,2839
4644,Sirdaryo viloyati - Shirin,4ec3eb43-8521-4d26-b509-a66d48b6158e,Timothy Cabrera,ayol,41,Biznes,262945220,21.79,36,2025-02-09,Jarayonda,Fermer,2108944,Xorazm,Urganch,236963,2,257,4614
4645,Andijon viloyati - Asaka,24723e93-af33-4dda-b729-dddc2003ac85,Christina Smith,ayol,33,Avtokredit,30451938,23.51,48,2022-04-05,Jarayonda,Talaba,33282970,Toshkent viloyati,Bekobod,360270,4,102,12267
4646,Navoiy viloyati - Qiziltepa,12760c21-4323-4b67-8771-35458c0b4bbd,Sean Jimenez,ayol,53,Avtokredit,490854326,17.96,36,2025-07-30,Kechikkan,Boshqaruvchi,9497688,Qoraqalpogʻiston Respublikasi,Chimboy,280515,4,257,13819
4647,Sirdaryo viloyati - Shirin,303db69e-cb9a-45ef-8897-309a18943580,Stephanie Marshall,ayol,25,Ta'lim,307650465,21.3,24,2021-01-14,Kechikkan,O'qituvchi,63889517,Namangan,Namangan,54601,1,222,2839
4648,Buxoro viloyati - G‘ijduvon,c0652f9b-516c-4266-aa52-47c46863876c,Carolyn Jones,erkak,51,Ta'lim,75487343,22.43,24,2025-04-30,Kechikkan,Tadbirkor,93737430,Navoiy,Navoiy,40472,0,231,4876
4649,Farg‘ona viloyati - Marg‘ilon,a546b2c8-4dfb-448c-aeaa-cb81049b1a6f,Brady Walters,erkak,57,Ta'lim,58012469,22.89,72,2024-05-28,To'langan,Fermer,65107643,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
4650,Buxoro viloyati - Buxoro,229f556a-7c7a-4b2e-928a-f716b0431dfe,Donna Collins,ayol,65,Ta'lim,234629038,22.44,12,2023-02-20,Jarayonda,Fermer,14862980,Samarqand,Nurobod,41107,0,127,1459
4651,Sirdaryo viloyati - Sirdaryo,68885438-afe7-4b1e-8b70-b0bd08a255a2,Sandra Morris,erkak,40,Avtokredit,243456429,18.45,24,2021-11-28,Kechikkan,Fermer,2177468,Jizzax,Do‘stlik,92508,2,249,6524
4652,Andijon viloyati - Shahrixon,e6aa2ce2-ed62-4aeb-87cc-8093e3f01a33,Chelsea Cannon,ayol,40,Fermerlik,495991496,15.53,12,2025-04-25,Kechikkan,O'qituvchi,40869933,Andijon,Asaka,302451,3,236,42183
4653,Toshkent viloyati - Chirchiq,19183cee-5160-4271-bf5a-cdac950a3558,Stephanie Leon,ayol,70,Biznes,223546260,12.5,72,2021-10-21,Kechikkan,Ishchi,92075242,Sirdaryo,Shirin,77686,1,255,9183
4654,Navoiy viloyati - Qiziltepa,6f374891-5b2d-4fb1-bc1d-080245074d57,John Boyd,erkak,48,Ipoteka,302822767,22.0,36,2024-12-25,To'langan,O'qituvchi,12969558,Fargʻona,Farg‘ona,152849,3,234,5735
4655,Samarqand viloyati - Kattaqo‘rg‘on,0c8ef666-52c6-4d43-9b5b-28793dfa165c,Karen Williams,erkak,46,Ipoteka,26058418,14.21,24,2022-03-27,To'langan,Talaba,47594352,Namangan,Namangan,54601,1,222,2839
4656,Surxondaryo viloyati - Denov,efd7db4c-da37-4c99-ac81-a5e869cf69d0,Stephen Obrien,erkak,46,Ta'lim,363304144,10.77,36,2021-02-02,Kechikkan,Talaba,63502507,Namangan,Chortoq,210264,3,236,9822
4657,Jizzax viloyati - Do‘stlik,b9049b46-197a-4d6f-b685-64b36bf07577,Colleen Smith,ayol,21,Biznes,237103402,18.71,24,2021-05-29,Jarayonda,O'qituvchi,15878070,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462
4658,Xorazm viloyati - Xiva,557bca82-b433-476c-aadd-e11dbd442a23,Bryan Mayer,ayol,35,Ipoteka,436930014,19.13,36,2023-01-08,To'langan,Tadbirkor,54608456,Samarqand,Pastdarg‘om,105713,1,132,15720
4659,Toshkent viloyati - Angren,e2b5bb16-772d-4ac4-a788-39c36f88102e,Bruce Mercado,erkak,32,Biznes,450486918,12.1,60,2022-04-12,To'langan,Talaba,16393477,Buxoro,G‘ijduvon,62601,1,233,6501
4660,Toshkent shahri,e1859b24-2ebf-4eab-993b-5c6cf44a3337,Jaime Young,ayol,69,Ta'lim,490788823,23.64,72,2022-07-12,Kechikkan,Boshqaruvchi,57047135,Jizzax,G‘allaorol,17080,0,240,1129
4661,Surxondaryo viloyati - Sherobod,b74ac006-a3ff-412e-8ee1-128906ea94b8,Dale Gross,erkak,37,Biznes,469976059,20.85,12,2025-06-23,Jarayonda,Boshqaruvchi,62918366,Jizzax,Do‘stlik,92508,2,249,6524
4662,Jizzax viloyati - G‘allaorol,6cb96c96-c323-4f97-b7af-98fa23c7882b,Jordan Sanders,ayol,38,Ipoteka,168000291,23.43,36,2020-11-27,Jarayonda,Boshqaruvchi,73367450,Namangan,Chortoq,210264,2,236,9822
4663,Qashqadaryo viloyati - Shahrisabz,fc37ab7e-7457-44d6-a751-8544582f2090,Timothy Myers,erkak,54,Avtokredit,299885388,20.82,72,2022-01-08,To'langan,Talaba,37884140,Andijon,Asaka,302451,3,236,42183
4664,Sirdaryo viloyati - Guliston,b56fa1e0-36e0-48da-a238-72e82a8d836d,Charles Hudson,ayol,52,Ipoteka,367506103,20.89,12,2021-05-29,Kechikkan,Tadbirkor,18601307,Buxoro,Kogon,49512,1,236,4431
4665,Navoiy viloyati - Navoiy,8d6cd205-9c92-42e2-bfeb-ba1bcb5649a6,Monica Johnson DDS,erkak,66,Ipoteka,341673113,10.94,60,2025-02-20,Jarayonda,O'qituvchi,92768045,Toshkent viloyati,Bekobod,360270,4,102,12267
4666,Qashqadaryo viloyati - Qarshi,77009a70-701e-49ee-9cc4-42d3a694bc14,Joseph Lam,erkak,40,Biznes,323941285,19.37,48,2020-11-29,Kechikkan,Fermer,1017147,Namangan,Chortoq,210264,3,236,9822
4667,Andijon viloyati - Shahrixon,dca2026e-10bf-4986-be7e-642f932d9950,Veronica Boyer,ayol,27,Avtokredit,419610930,20.15,60,2023-04-08,Jarayonda,O'qituvchi,45504006,Sirdaryo,Guliston,55176,2,235,4862
4668,Andijon viloyati - Asaka,4bca38c0-e876-4a7c-8116-77d55053a946,Andrew Dyer,erkak,37,Biznes,120472878,23.73,48,2024-11-01,To'langan,Talaba,1135667,Buxoro,G‘ijduvon,62601,2,233,6501
4669,Qashqadaryo viloyati - Kitob,c1c00516-1bff-42e4-8e8e-40145b93007b,Valerie Conrad,ayol,24,Biznes,310399365,21.55,12,2021-11-25,Kechikkan,O'qituvchi,43566124,Fargʻona,Marg‘ilon,251803,3,266,15042
4670,Farg‘ona viloyati - Qo‘qon,1d619ca5-46f9-4594-908e-d7d3db82c30e,John Collins,ayol,51,Biznes,304931014,13.73,24,2025-07-21,Kechikkan,Fermer,1873390,Toshkent viloyati,Chirchiq,373498,5,131,24067
4671,Samarqand viloyati - Kattaqo‘rg‘on,16e8a223-1b16-4fe3-bba0-6ac78b4d6c6b,Justin Gibson,ayol,35,Ipoteka,441984135,21.78,72,2022-06-06,Jarayonda,Boshqaruvchi,72328451,Xorazm,Yangibozor,315273,4,232,3499
4672,Sirdaryo viloyati - Shirin,8dabedd8-30a3-44c8-80c0-e23fca1ea36c,John Mitchell,erkak,38,Avtokredit,254362929,16.77,60,2020-12-30,Kechikkan,Tadbirkor,48899830,Qoraqalpogʻiston Respublikasi,Nukus,550856,7,230,52910
4673,Samarqand viloyati - Nurobod,349ea214-508d-4794-a3f6-a60efca32dff,Joseph Harris,ayol,65,Ipoteka,496113490,22.49,12,2021-01-21,To'langan,Tadbirkor,54391260,Toshkent shahri,Mirzo Ulug‘bek,2171,0,101,261
4674,Xorazm viloyati - Xiva,834ab313-161c-48f8-b6f8-c8f731288728,Stacy Baker,erkak,49,Ipoteka,263910169,13.93,36,2025-07-03,Jarayonda,O'qituvchi,2034240,Fargʻona,Qo‘qon,283539,3,211,26120
4675,Samarqand viloyati - Samarqand,7f2cf7dc-754a-4428-87e7-0a0f71b230cd,Brandon Reynolds,erkak,64,Fermerlik,189721754,12.81,24,2021-08-04,To'langan,Ishchi,40339708,Jizzax,Do‘stlik,92508,2,249,6524
4676,Toshkent viloyati - Angren,a7c64802-2968-4cbd-88ad-a5143c643a26,Jesse Sampson,ayol,43,Biznes,418979901,13.35,12,2023-06-23,Jarayonda,Fermer,65935584,Buxoro,G‘ijduvon,62601,2,233,6501
4677,Navoiy viloyati - Navoiy,fafbf1b8-20dc-4a83-91d6-feed4c43cae3,David Guzman,erkak,62,Biznes,18921279,13.43,36,2025-09-21,To'langan,Tadbirkor,40066142,Qashqadaryo,Shahrisabz,32063,1,75,1176
4678,Namangan viloyati - Chortoq,24241c94-58cb-4931-9b9b-204dd252be3d,Emily Hunt,erkak,24,Biznes,238020722,13.74,48,2023-06-09,To'langan,Boshqaruvchi,1591384,Navoiy,Navoiy,40472,1,231,4876
4679,Farg‘ona viloyati - Qo‘qon,fa403042-4724-45d0-8278-168fc305a302,Julia Williams,ayol,68,Biznes,231582056,16.49,48,2021-04-28,Kechikkan,Fermer,37252272,Qoraqalpogʻiston Respublikasi,Chimboy,280515,3,257,13819
4680,Buxoro viloyati - Kogon,e5c97924-8bb2-4408-bb7b-1fc6df2d3162,Joanna Dixon,ayol,53,Ta'lim,372064328,16.52,60,2024-04-30,To'langan,Ishchi,55123108,Namangan,Pop,440092,4,239,25049
4681,Surxondaryo viloyati - Denov,255f074d-5e54-479d-9b39-900814d09004,Kathy Everett,erkak,31,Biznes,192035759,21.55,24,2023-10-05,Jarayonda,O'qituvchi,76475242,Toshkent viloyati,Olmaliq,348935,4,106,31204
4682,Buxoro viloyati - G‘ijduvon,0908f532-2147-42a4-9fd2-98f8dd85a529,Monica Barker,ayol,32,Avtokredit,68552455,20.14,60,2021-08-25,Kechikkan,Talaba,94888726,Sirdaryo,Guliston,55176,1,235,4862
4683,Namangan viloyati - Namangan,979fe0d1-56d8-4ed8-a65a-1d33f389cb73,Christopher Long,erkak,63,Fermerlik,392065287,16.36,48,2024-01-30,To'langan,Ishchi,52545235,Buxoro,Kogon,49512,1,236,4431
4684,Qashqadaryo viloyati - Beshkent,41616587-e03c-4f03-8f9d-a328d0d691c6,Matthew Myers,ayol,54,Biznes,237486915,20.11,12,2020-11-17,Kechikkan,Boshqaruvchi,85929547,Samarqand,Samarqand,79667,1,126,9757
4685,Buxoro viloyati - Buxoro,6e35af05-b31e-425c-9be7-c5a94ece892c,Cynthia Morris,ayol,39,Fermerlik,6680150,21.29,48,2024-10-28,Kechikkan,Tadbirkor,1391918,Navoiy,Zarafshon,20067,0,227,666
4686,Buxoro viloyati - G‘ijduvon,04186f7d-b7dd-4a0c-940d-2312fa7a5c76,Tammy Hansen,ayol,61,Avtokredit,36689509,10.7,60,2021-11-29,To'langan,Ishchi,97020087,Toshkent viloyati,Yangiyo‘l,9906,0,127,324
4687,Farg‘ona viloyati - Marg‘ilon,b203b8c6-588e-4324-a908-3cd8383bc809,Robert Rowland,erkak,44,Biznes,87517951,14.04,72,2025-07-20,Jarayonda,Fermer,54554085,Fargʻona,Marg‘ilon,251803,3,266,15042
4688,Sirdaryo viloyati - Guliston,4800c572-9b7d-4ae3-b06e-efe4c9b19de3,Michael Wright,ayol,58,Ta'lim,91969692,22.09,60,2021-01-31,Kechikkan,Tadbirkor,25102217,Qashqadaryo,Nishon,37562,0,54,5248
4689,Andijon viloyati - Shahrixon,a2232fec-6149-448a-8549-bd72b36ebc69,Jason Wilson,ayol,33,Ta'lim,426022373,13.6,12,2021-06-20,Kechikkan,Ishchi,50525601,Qashqadaryo,Kitob,16310,1,77,1493
4690,Samarqand viloyati - Kattaqo‘rg‘on,82136d60-a71a-43a2-a3af-b1fbc6383674,Matthew Weeks,erkak,28,Fermerlik,469193047,10.34,60,2024-02-29,Jarayonda,Boshqaruvchi,51487682,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
4691,Jizzax viloyati - Jizzax,8cc22985-776c-468d-af0c-07cac7f1a95a,Mackenzie Anderson,ayol,29,Fermerlik,223720345,11.16,48,2022-01-03,Jarayonda,Talaba,95816608,Navoiy,Navoiy,40472,0,231,4876
4692,Navoiy viloyati - Zarafshon,89f6480a-d436-4719-ad79-5e20ba5b435e,Michelle Ball,ayol,21,Ipoteka,314941450,24.51,36,2020-12-08,Kechikkan,O'qituvchi,66148865,Namangan,Chortoq,210264,2,236,9822
4693,Sirdaryo viloyati - Guliston,7c75fab3-abb6-4b54-ab35-45cc950bcf9a,Lori Pittman,ayol,49,Biznes,223370460,18.48,12,2024-07-28,Jarayonda,Talaba,82516559,Sirdaryo,Sirdaryo,115267,1,238,4878
4694,Jizzax viloyati - Do‘stlik,b900b2bd-0b83-47ae-83d4-79b2427537ad,Sarah Anderson,erkak,26,Biznes,74645320,16.8,12,2024-09-03,To'langan,Talaba,74162197,Buxoro,Buxoro,1000,1,218,59
4695,Farg‘ona viloyati - Qo‘qon,399c748a-27c5-4d1c-9d41-6e6c6c18ad0b,Veronica Downs,ayol,37,Ipoteka,457779247,22.98,12,2023-01-01,To'langan,Fermer,94559864,Toshkent shahri,Shayxontohur,680292,8,83,77932
4696,Qoraqalpog‘iston - Nukus,69659426-9744-4de4-9e7a-27f393b3ab69,Travis Hill,erkak,46,Biznes,233783227,13.75,48,2025-06-19,Kechikkan,Fermer,18321782,Xorazm,Xiva,26077,1,243,1762
4697,Andijon viloyati - Asaka,2f229884-3df6-4786-91bf-a14e87633f00,Sean Campbell,ayol,36,Avtokredit,410972543,13.26,72,2025-03-09,Jarayonda,Talaba,74706804,Buxoro,G‘ijduvon,62601,1,233,6501
4698,Qoraqalpog‘iston - Chimboy,8018ca20-3ed4-4912-9193-184359576b5d,Joshua Perez,ayol,21,Ipoteka,129005714,14.67,60,2022-11-21,Jarayonda,Boshqaruvchi,62705616,Samarqand,Kattaqo‘rg‘on,216959,3,117,23327
4699,Sirdaryo viloyati - Shirin,04bc39d8-d2a3-4b5b-8039-2872c17a80b6,George Patterson,erkak,43,Ipoteka,95741777,12.38,72,2024-10-12,Jarayonda,Fermer,62578909,Surxondaryo,Denov,128469,2,219,5813
4700,Toshkent viloyati - Chirchiq,5d4e2535-1a3e-49a6-b089-bc080eb4c87f,Thomas Thomas,ayol,36,Biznes,17455542,20.05,36,2025-07-27,Jarayonda,Ishchi,85747986,Fargʻona,Farg‘ona,152849,3,234,5735
4701,Buxoro viloyati - G‘ijduvon,b67f8c08-af49-4650-bf25-f1aa00a96400,Jennifer Carr,ayol,61,Fermerlik,21897512,15.54,36,2021-06-25,Kechikkan,Talaba,81955827,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462
4702,Sirdaryo viloyati - Shirin,84994c0c-9e7b-4c7b-80e2-1a5a009ba85c,Ann Goodwin,erkak,53,Ipoteka,44216924,22.91,36,2025-07-12,To'langan,O'qituvchi,65766535,Navoiy,Qiziltepa,13911,0,247,598
4703,Jizzax viloyati - G‘allaorol,5fc4e452-93e9-46dc-a249-1982fc4468e8,Nancy Ferguson,ayol,28,Ta'lim,484795174,24.35,72,2021-09-29,Jarayonda,Tadbirkor,64885011,Qoraqalpogʻiston Respublikasi,Nukus,550856,6,230,52910
4704,Jizzax viloyati - Do‘stlik,6b31859c-fe73-4a2e-9f02-53688d9c36b0,Ashley Cooper,ayol,46,Ta'lim,195195623,11.06,24,2023-06-28,Jarayonda,Tadbirkor,39154428,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
4705,Xorazm viloyati - Xiva,a911894d-f0b0-401f-9526-6d7ad277b984,Sean Hernandez,ayol,41,Ipoteka,431148183,18.18,12,2021-03-20,Jarayonda,O'qituvchi,20886323,Toshkent viloyati,Yangiyo‘l,9906,0,127,324
